sentence,remark
80你最喜欢的兴趣班是哪一个？,365个睡前话题
81你喜欢吃妈妈做的哪些菜？,365个睡前话题
82你最喜欢哪种水果？,365个睡前话题
83酸甜苦辣，你最喜欢哪种味道？,365个睡前话题
84阴晴圆缺，你最喜欢月亮哪种样子？为什么？,365个睡前话题
85出去旅游，你最想乘坐什么交通工具？公,365个睡前话题
86你最喜欢什么节日？,365个睡前话题
87 五十六个民族，你喜欢哪一个？,365个睡前话题
88过年的时候，你最喜欢去哪个亲戚家？,365个睡前话题
89你最喜欢哪种天气呢？,365个睡前话题
90我们一起在阳台种花，你最想种什么？,365个睡前话题
91你喜欢博物馆、科技馆、还是图书馆？,365个睡前话题
92什么动物脖子/鼻子最长？,365个睡前话题
93什么动物跑的最快/慢？,365个睡前话题
94什么动物生活在树上？,365个睡前话题
95什么水果像只小船？,365个睡前话题
96什么植物的叶子最大/小？,365个睡前话题
97海里最大的动物是什么？,365个睡前话题
98天上最亮的星星是什么星？,365个睡前话题
99月亮什么时候最圆？,365个睡前话题
100什么鱼的肚子鼓得像个球？,365个睡前话题
101吃哪些食物对身体有帮助？,365个睡前话题
102洗手的正确步骤是什么呢？,365个睡前话题
103为什么出门要戴口罩？,365个睡前话题
104如果不刷牙，牙齿会怎么样？,365个睡前话题
105我们怎么样让自己身体更健康？,365个睡前话题
106如果我感冒了，你会怎样照顾我？,365个睡前话题
107新冠病毒是怎么从一个人跑到另一个人身上的呢？,365个睡前话题
108什么样的人不容易被病毒打败？,365个睡前话题
109为什么小孩不能吃太多糖？,365个睡前话题
110我们吃的东西都去了哪里？,365个睡前话题
111为什么肚子饿了会咕咕叫？,365个睡前话题
112几点睡觉可以帮助你长高？,365个睡前话题
113如果你是科学家，会研究什么？,365个睡前话题
114讲个有趣的科学故事给我听听吧？,365个睡前话题
115收快递的纸箱能用来干什么？,365个睡前话题
116空的塑料瓶能做什么？,365个睡前话题
117铅笔是用什么做的？,365个睡前话题
118盲道是用来干什么的？,365个睡前话题
119红绿灯是用来干什么的？,365个睡前话题
120下雨的水是从哪里来的？,365个睡前话题
121为什么向日葵总是朝着太阳开花？,365个睡前话题
122天空/大海为什么是蓝的？,365个睡前话题
123你觉得读书有用吗？为什么呢？,365个睡前话题
124你比较喜欢看哪些书？,365个睡前话题
125你喜欢的学校是什么样子的呢？,365个睡前话题
126你喜欢严厉的老师还是不严厉的？,365个睡前话题
127你喜欢娜一个老师，为什么？,365个睡前话题
128今天老师教了你什么新知识呢？,365个睡前话题
129今天的学习，有没有遇到什么因难呢？,365个睡前话题
130看过的书里，让你印象深刻的故事是什么？,365个睡前话题
131今天，你从书里学到了什么知识？,365个睡前话题
132最近学习了什么新游戏？,365个睡前话题
133哪些游戏能让你学到知识？,365个睡前话题
134玩什么游戏让你收获最大？,365个睡前话题
135学习的时候遇到困难了，你是怎么解决的？,365个睡前话题
136你最喜欢上什么课？为什么？,365个睡前话题
137你喜欢的书是哪一本？为什么？,365个睡前话题
138你能和我分享你最喜欢的故事吗？,365个睡前话题
139如果让你自己写一本书，你想写什么故事？,365个睡前话题
140老师教的东西你学会了吗？,365个睡前话题
141在学校有遇到烦心事吗？,365个睡前话题
142如果你当老师，会怎么管理不听话的学生？,365个睡前话题
143你觉得书里的哪些知识能用在生活中？,365个睡前话题
144遇到不会的问题，你有主动问老师吗？,365个睡前话题
145如果有道题老师讲错了，你会提出来吗？,365个睡前话题
146你喜欢自己学习，还是妈妈/老师教你？,365个睡前话题
147做作业的时候，你希望妈妈陪着吗？,365个睡前话题
148放学回家，你想要先看书还是先玩？,365个睡前话题
149你认为上学的好处多还是坏处多？,365个睡前话题
149伸出三个手指头，用三个词形容爸爸/妈妈？,365个睡前话题
150周末的时候，你希望和爸爸妈妈一起做什么？,365个睡前话题
151你心目中的家，是什么样子的？,365个睡前话题
152你最喜欢家里哪个地方？为什么？,365个睡前话题
153如果让你来装饰我们的家，你想改变哪些地方？,365个睡前话题
154你心目中的爸爸妈妈是怎样的？,365个睡前话题
155家人对你来说意味着什么呢？,365个睡前话题
156你会怎么样让家人更加团结？,365个睡前话题
157家里来客人了，你会怎么招待呢？,365个睡前话题
158你愿意做哪些家务活呢？,365个睡前话题
159你想在家里养什么小动物呢？,365个睡前话题
160如果每周设定一个家庭日，你觉得可以做什么？,365个睡前话题
161你最期待家庭日的什么活动呀？,365个睡前话题
162你难过的时候希望妈妈怎么做？,365个睡前话题
163你希望爸爸带你去做什么没做过的事情？,365个睡前话题
164我们全家一同一起大扫除你觉得怎么样？,365个睡前话题
165你知道爸爸/妈妈的工作是做什么吗？,365个睡前话题
166爷爷奶奶过生日你可以送什么礼物？,365个睡前话题
167我们每年都去拍一张全家福好吗？,365个睡前话题
168家里的地址和妈妈（爸爸）的电话号码是什么？,365个睡前话题
169回家发现家里没人，你会怎么办？,365个睡前话题
170如果你来当一天爸爸妈妈，你会安排我们做什么？,365个睡前话题
171你最理想的一天是什么样的？,365个睡前话题
172爸爸妈妈为你安排的学习生活，有哪条是你觉得不对的？,365个睡前话题
173如果给睡前定一个规则，你希望是什么？,365个睡前话题
174周未和爸爸妈妈去野餐，要准备哪些东西？,365个睡前话题
175你觉得好朋友应该是什么样子的？,365个睡前话题
176你的朋友们都是怎么形容你的？,365个睡前话题
177如果最好的朋友哭了，你要怎么安慰他？,365个睡前话题
178你觉得怎么样才能交到一个好明友？,365个睡前话题
179你觉得有很多普通朋友好？还是只有一个好朋友更好？,365个睡前话题
180你最喜欢和朋友做什么事情呢？,365个睡前话题
181你愿意分享你的玩具给你的好朋友吗？,365个睡前话题
182如果小朋友来抢你的玩具，你会怎么办？,365个睡前话题
183如果你想要玩别的小朋友的玩具，你会怎么做？,365个睡前话题
184好朋友难过的时候你会怎么安慰他？,365个睡前话题
185如果大哥哥姐姐不愿意和你玩，你会怎么办？,365个睡前话题
186你的好朋友受伤了，你会怎么帮助他？,365个睡前话题
187你帮助过谁吗？,365个睡前话题
188谁接受过你的什么帮助吗？,365个睡前话题
189你觉得好朋友之间，最重要的是什么？,365个睡前话题
190什么时候你感觉别人是在骗你？,365个睡前话题
191你最喜欢朋友身上的哪些优点呢？,365个睡前话题
192你会邀请哪些好朋友来家里玩？,365个睡前话题
193有朋友邀请大家去他家玩，但没邀请你，你有什么想法？,365个睡前话题
194今年好朋友过生日，你打算送什么礼物？,365个睡前话题
195你最要好的同学是谁？为什么？,365个睡前话题
196你在学校里发生了什么有趣的事呢？,365个睡前话题
197下课时间，一般在学校玩什么呢？,365个睡前话题
198如果你和同学闹矛盾了，会怎么办？,365个睡前话题
199如果有同学在班级里说你坏话，你会忍吗？,365个睡前话题
200今天谁对你特别好？,365个睡前话题
201见到长辈你愿意和他们打招呼吗？要怎么打招呼？,365个睡前话题
202陌生人请你吃东西，你会怎么办？,365个睡前话题
203如果你走丢了应该怎么办？,365个睡前话题
204放学了，爸爸/妈妈没来接你，你应该怎么做？,365个睡前话题
205你认识家里到学校的路吗？,365个睡前话题
206我们交换一个秘密，怎么样？,365个睡前话题
207你心里的秘密最想和谁分享？,365个睡前话题
208你有哪些无话不谈的好朋友？,365个睡前话题
209说一件你从没和我说过的事？,365个睡前话题
210你知道哪些别人不知道的事？,365个睡前话题
211你觉得秘密不能分享给哪些人？,365个睡前话题
212你想知道妈妈的秘密吗？,365个睡前话题
213哪些秘密是不能告诉别人的？,365个睡前话题
214你和妈妈之间的秘密，你觉得能告诉爸爸吗？,365个睡前话题
215你和爸爸有没有秘密，没有告诉妈妈？,365个睡前话题
216好朋友的秘密不愿意告诉你，你是什么心情？,365个睡前话题
217朋友让你保守的秘密，你不小心说出去了怎么办？,365个睡前话题
218你知道不能随便打探别人的秘密吗？,365个睡前话题
219你在学校有没有喜欢的小男（女）生？为什么喜欢呢？,365个睡前话题
220如果你有喜欢的小男（女）生，你愿意和妈妈分享吗？,365个睡前话题
221别人抱你的时候你是什么感觉？,365个睡前话题
222除了爸爸妈妈，还有谁抱过你吗？,365个睡前话题
223你有什么秘密没有跟任何人说过？,365个睡前话题
224你会用那三个词形容自己？,365个睡前话题
225你最喜欢自己哪一点？不喜欢哪一点？,365个睡前话题
226你觉得自己比别人厉害的地方，是哪里？,365个睡前话题
227如果你能改变自己，你最想要改变哪个地方？,365个睡前话题
228如果你是一个超级英雄，你会用自己的能力去做什么？,365个睡前话题
229你听过最棒的赞美是什么？,365个睡前话题
230你是怎么关心别人的呢？,365个睡前话题
231你觉得你是一个好朋友吗7,365个睡前话题
232做什么事可以让你感到安心？,365个睡前话题
233你喜欢送别人礼物吗？,365个睡前话题
234你有什么技巧可以教别人？,365个睡前话题
235你还想学什么？,365个睡前话题
236你最自豪的事情是什么？,365个睡前话题
237如果有人骂你，你会怎么做？,365个睡前话题
238你可以做些什么来帮助别人？,365个睡前话题
239你觉得大人都不懂的事有那些？,365个睡前话题
240这周（月）你觉得哪一天最不开心？,365个睡前话题
241你认为生活中最重要的是什么？,365个睡前话题
242如果妈妈给你一百块钱，你打算怎么花？,365个睡前话题
243如果你能回到一年前，你会给当时的自己什么建议？,365个睡前话题
244你更愿意住在乡下还是城市？,365个睡前话题
245你更喜欢提问题还是回答问题？,365个睡前话题
246你喜欢和比你年纪大的孩子玩还是比你小的玩？,365个睡前话题
247你觉得家里只有你一个小孩更好，还是有兄弟姐妹更好？,365个睡前话题
248你觉得你长大以后是什么样的？,365个睡前话题
249我们可以怎样知道，你已经长大了呢？,365个睡前话题
250如果别人拿了你最喜欢的玩具，你会怎么办？,365个睡前话题
251朋友弄坏了你喜欢的玩具，你会怎么办？,365个睡前话题
252睡前你想看的书是哪本，为什么？,365个睡前话题
253如果我们坚持晨跑，你觉得跑多长时间合适？,365个睡前话题
254早上起床后和妈妈比赛叠被子怎么样？,365个睡前话题
255明天和妈妈一起去给楼下的流浪猫喂吃的怎么样？,365个睡前话题
256自己收拾玩过的玩具是什么心情？,365个睡前话题
257你觉得挑食的孩子会错过什么？,365个睡前话题
258当你帮助别人后是什么心情？,365个睡前话题
259别人送你礼物，你应该怎么说怎么做？,365个睡前话题
260回家后先玩游戏还是写作业？,365个睡前话题
261没有完成作业，要怎么跟老师说？,365个睡前话题
262没有吃饭，能不能吃零食？,365个睡前话题
263每天和妈妈一起跑步（某一运动）30分钟，你觉得怎么样？,365个睡前话题
264你觉得自己写字好看吗？每天练习一张字帖怎么样？,365个睡前话题
265如果可以晚一小时再睡觉，你现在想做什么？,365个睡前话题
266家里来的客人你很不喜欢，你会怎么做？,365个睡前话题
267你不喜欢的长辈问你话，你会怎么做？,365个睡前话题
268小区的花开了，可以摘下来摆在家里吗？,365个睡前话题
269遇到小狗小猫很可爱，可以摸摸抱抱吗？,365个睡前话题
270上学要迟到了，可以闯红灯吗？,365个睡前话题
271坐公交车有哪些文明礼貌的行为？,365个睡前话题
272看到有人摔倒了，要不要上去帮忙？,365个睡前话题
273看到有坏人，应该怎么做？,365个睡前话题
274做核酸时，认识的长辈让你插队，你应该怎么做？,365个睡前话题
275别的小朋友打你，你要打回去吗？,365个睡前话题
276如果你能乘时光机旅行，你想去到哪个时间？,365个睡前话题
277如果你有一扇任意门，你会想去哪个地方？,365个睡前话题
278你觉得未来世界是什么样的？,365个睡前话题
279你更想回到过去还是去未来旅行？,365个睡前话题
280你觉得外太空是什么样的？,365个睡前话题
281如果觉得地球外面有外星人吗？,365个睡前话题
282如果再也不用上学了，你会干点什么呢？,365个睡前话题
283如果你画的画能变成真的，你最想画什么？,365个睡前话题
284最快乐的颜色是什么？是什么让它快乐？,365个睡前话题
285有没有让一百块钱变多的办法？,365个睡前话题
286给你一天时间做爸爸妈妈，你会做什么？,365个睡前话题
287你想当哪种动物？像鸟一样飞翔，或像鱼一样游泳？,365个睡前话题
288如果你会隐形，你想做点什么呢？,365个睡前话题
289如果你有了超能力，会用它干什么？,365个睡前话题
290如果你可以马上变成大人，你最想做什么？,365个睡前话题
291如果给你一大笔钱，你会怎么处理？,365个睡前话题
292假如你可以变成另一个人一天，你最想变成谁？,365个睡前话题
293如果你开了一家小超市，会卖什么呢？,365个睡前话题
294给未来的你写封信，会写什么呢？,365个睡前话题
295如果用积木搭一个世界，你觉得怎么样？,365个睡前话题
296如果没有电子设备（手机/电脑/电视），你觉得生活会怎么样？,365个睡前话题
297如果你明天安成了百万富翁，你会用钱来做什么？,365个睡前话题
298如果没有钱，世界会变得怎么样？,365个睡前话题
299如果兔子（任一动物）会说话，你觉得她会跟你说什么？,365个睡前话题
300如果你能问动物问题，你会问什么？,365个睡前话题
301你认为哪一种动物可以把车开得很好？,365个睡前话题
302如果给天空换一个颜色，你想换成什么额色？,365个睡前话题
303如果你有一个自己的秘密洞穴，你想藏些什么东西？,365个睡前话题
304你想要盖一栋什么样的房子？,365个睡前话题
305你会用什么东西来建造一个坚不可摧的墙？,365个睡前话题
306你想发明什么？,365个睡前话题
307如果有个漂流瓶，你想写些什么？你希望谁找到这个漂流瓶？,365个睡前话题
308如果你在野外，没有水和电，你会怎么生活？,365个睡前话题
309你觉得住在偏远的山间小屋里怎么样？最想念什么？,365个睡前话题
310你最想发明一种什么药？,365个睡前话题
311你更想要做一个矮人还是巨人？,365个睡前话题
312你喜欢山还是海？,365个睡前话题
313你更喜欢沙漠还是南极？,365个睡前话题
314你更愿意做鲨鱼还是海豚？,365个睡前话题
315如果你能帮“颜色”取名，那你分别会取什么名字？,365个睡前话题
316一个好朋友的特质是什么？,365个睡前话题
317你觉得人死了之后会怎么样？,365个睡前话题
318怎么知道动物是不是有感情呢？,365个睡前话题
319所有人都应该平等吗？,365个睡前话题
320你认为什么是不公平？,365个睡前话题
321你有经历过什么不公平的事吗？,365个睡前话题
322你有没有不公平地对待过别人？,365个睡前话题
323如果一个朋友被你惹生气了，你会怎么办？,365个睡前话题
324你觉得爸爸妈妈不应该做哪些事？,365个睡前话题
325你愿意做些什么来保护你最好的朋友？,365个睡前话题
326你愿意为了你的朋友而说谎吗？,365个睡前话题
327在争吵中你会怎么做？,365个睡前话题
328如果一整天你都不能说话会怎么样？,365个睡前话题
329如果有一天你听不到声音会怎么样？,365个睡前话题
330是什么让一个人变得聪明？,365个睡前话题
331什么会让一个人变笨？,365个睡前话题
332为什么你需要上学？,365个睡前话题
333我们末来的生活会是什么样子？,365个睡前话题
334如果可以，你可以帮这个世界改变什么？,365个睡前话题
335当一个孩子很简单吗？变成大人之后呢？,365个睡前话题
336你怎么知道你已经长大了？,365个睡前话题
337小孩子是不是应该尊重所有大人？,365个睡前话题
338你应该一直听爸爸妈妈的话吗？,365个睡前话题
339大人可以惩罚孩子吗？应该如何惩罚？,365个睡前话题
340有一个人快要饿死了，你觉得他可不可以偷食物？,365个睡前话题
341你能永远做你想做的事吗？,365个睡前话题
342你觉得人为什么要说谎？,365个睡前话题
343你经常能说出你想要的东西及想做的事情吗？,365个睡前话题
344你觉得有些爸爸妈妈为什么会离婚？,365个睡前话题
345为什么人们要吵架，他们不能心平气和地讨论吗？,365个睡前话题
346为什么大人的笑容越来越少？,365个睡前话题
347吸烟对人体有害，为什么还是有人要吸烟？,365个睡前话题
348什么是好心情和坏心情？,365个睡前话题
349当你变老了，你想做什么事？,365个睡前话题
350什么是灵魂？它在哪里？,365个睡前话题
351什么是爱？,365个睡前话题
352你怎么知道有人爱你？,365个睡前话题
353世界上真的有永恒的爱吗？,365个睡前话题
354什么是幸福？,365个睡前话题
355你能永远快乐而不感到悲伤吗？,365个睡前话题
356没有钱你会快乐吗？,365个睡前话题
357为什么有钱人不分享钱给穷人？,365个睡前话题
358一个人对你没礼貌，你也应该对他没礼貌吗？,365个睡前话题
359如果你要制定一个所有人都该遵守的法律，那会是什么？,365个睡前话题
360我们可以羡落别人吗？,365个睡前话题
361你能改变自己的命运吗？,365个睡前话题
362你能接受自己不好的一面吗？,365个睡前话题
363你能接受自己的长相吗？,365个睡前话题
364谁决定什么是美丽，什么不是？,365个睡前话题
365你认为，生命的意义是什么？,365个睡前话题
