sentence,remark,lesson,book
"One day she came into his office and happened to put her hands on the door of a locked safe.","一天，维拉走进父亲的办公室，偶然把手放在一个锁着的保险柜的门上，",Lesson 4 - Seeing hands,New Concept English 4
"Suddenly she asked her father why he kept so many old newspapers locked away there, and even described the way they were done up in bundles.","她突然问父亲为什么把这么多的旧报纸锁在柜子里，还说了报纸捆扎的情况。",Lesson 4 - Seeing hands,New Concept English 4
"Vera's curious talent was brought to the notice of a scientific research institute in the town of Ulyanovsk, near where she lives, and in April she was given a series of tests by a special commission of the Ministry of Health of the Russian Federal Republic.","维拉的特异功能引起了她家附近乌里扬诺夫斯克城一个科研单位的注意，4月里俄罗斯卫生部一个特别委员会对她进行了一系列的测试。",Lesson 4 - Seeing hands,New Concept English 4
"During these tests she was able to read a newspaper through an opaque screen and, stranger still, by moving her elbow over a child's game of Lotto she was able to describe the figures and colours printed on it; and, in another instance, wearing stockings and slippers, to make out with her foot the outlines and colours of a picture hidden under a carpet.","在这些测试中，她能隔着不透明的屏幕读报纸。更为奇怪的是，她把肘部在儿童玩的“罗托”纸牌上移动一下，便能说出印在纸牌上的数字和颜色；还有一次，她穿着长筒袜子和拖鞋，能用脚步识别出藏在地毯下面的一幅画的轮廓和颜色。",Lesson 4 - Seeing hands,New Concept English 4
"Other experiments showed that her knees and shoulders had a similar sensitivity.","其他实验表明，她的膝盖和双肩有类似的感觉能力。",Lesson 4 - Seeing hands,New Concept English 4
"During all these tests Vera was blindfold; and indeed, except when blindfold she lacked the ability to perceive things with her skin.","在所有这些实验中，维拉的双眼都是蒙着的。如果不蒙上双眼她的皮肤就不再具有识别物体的能力。",Lesson 4 - Seeing hands,New Concept English 4
"It was also found that although she could perceive things with her fingers this ability ceased the moment her hands were wet.","这是千真万确的。同时还发现，尽管 she 能用手指识别东西，但她的手一旦弄湿，这种功能便会立即消失。",Lesson 4 - Seeing hands,New Concept English 4
"People are always talking about 'the problem of youth'.","人们总是在谈论“青年问题”。",Lesson 5 - Youth,New Concept English 4
"If there is one -- which I take leave to doubt -- then it is older people who create it, not the young themselves.","如果这个问题存在的话 -- 请允许我对此持怀疑态度 -- 那么，这个问题是由老年人而不是青年人造成的。",Lesson 5 - Youth,New Concept English 4
"Let us get down to fundamentals and agree that the young are after all human beings -- people just like their elders.","让我们来认真研究一些基本事实：承认青年人和他们的长辈一样也是人。",Lesson 5 - Youth,New Concept English 4
"There is only one difference between an old man and a young one: the young man has a glorious future before him and the old one has a splendid future behind him: and maybe that is where the rub is.","老年人和青年人只有一个区别：青年人有光辉灿烂的前景，而老年人的辉煌已成为过去。问题的症结恐怕就在这里。",Lesson 5 - Youth,New Concept English 4
"When I was a teenager, I felt that I was just young and uncertain -- that I was a new boy in a huge school, and I would have been very pleased to be regarded as something so interesting as a problem.","我十几岁时，总感到自己年轻，有些事拿不准 -- 我是一所大学里的一名新生，如果我当时真的被看成像一个问题那样有趣，我会感到很得意的。",Lesson 5 - Youth,New Concept English 4
"For one thing, being a problem gives you a certain identity, and that is one of the things the young are busily engaged in seeking.","因为这至少使我得到了某种承认，这正是年轻人所热衷追求的。",Lesson 5 - Youth,New Concept English 4
"I find young people exciting.","我觉得年轻人令人振奋，",Lesson 5 - Youth,New Concept English 4
"They have an air of freedom, and they have not a dreary commitment to mean ambitions or love of comfort.","他们无拘无束。既不追逐卑鄙的名利，也不贪图生活的舒适。",Lesson 5 - Youth,New Concept English 4
"They are not anxious social climbers, and they have no devotion to material things.","他们不热衷于向上爬，也不一味追求物质享受。",Lesson 5 - Youth,New Concept English 4
"All this seems to me to link them with life and the origins of things.","在我看来，所有这些使他们与生命和万物之源联系在了一起。",Lesson 5 - Youth,New Concept English 4
"It's as if they were in some sense cosmic beings in violent and lovely contrast with us suburban creatures.","从某种意义上讲，他们似乎是宇宙人，同我们这些凡夫俗子形成了强烈而鲜明的对照。",Lesson 5 - Youth,New Concept English 4
"All that is in my mind when I meet a young person.","每逢我遇到年轻人，脑子里就想到",Lesson 5 - Youth,New Concept English 4
"He may be conceited, ill-mannered, presumptuous or fatuous, but I do not turn for protection to dreary cliches about respect for elders -- as if mere age were a reason for respect.","这些年轻人也许狂妄自负，举止无理，傲慢放肆，愚昧无知，但我不会用应当尊重长者这一套陈词滥调来为我自己辨护，似乎年长就是受人尊敬的理由。",Lesson 5 - Youth,New Concept English 4
"I accept that we are equals, and I will argue with him, as an equal, if I think he is wrong.","我认为我和他们是平等的。如果我认为他们错了，我就以平等的身份和他们争个明白。",Lesson 5 - Youth,New Concept English 4
"I am always amazed when I hear people saying that sport creates goodwill between the nations, and that if only the common peoples of the world could meet one another at football or cricket, they would have no inclination to meet on the battlefield.","我总是惊愕不已。当我听人们说体育运动可创造国家之间的友谊，还说各国民众若在足球场或板球场上交锋，就不愿在战场上残杀的时候，",Lesson 6 - The sporting spirit,New Concept English 4
"Even if one didn't know from concrete examples (the 1936 Olympic Games, for instance) that international sporting contests lead to orgies of hatred, one could deduce it from general principles.","一个人即使不能从具体的事例（例如1936年的奥林匹克运动会）了解到国际运动比赛会导致疯狂的仇恨，也可以从常理中推断出结论。",Lesson 6 - The sporting spirit,New Concept English 4
"Nearly all the sports practised nowadays are competitive.","现在开展的体育运动几乎都是竞争性的。",Lesson 6 - The sporting spirit,New Concept English 4
"You play to win, and the game has little meaning unless you do your utmost to win.","参加比赛就是为了取胜。如果不拚命去赢，比赛就没有什么意义了。",Lesson 6 - The sporting spirit,New Concept English 4
"On the village green, where you pick up sides and no feeling of local patriotism is involved, it is possible to play simply for the fun and exercise: but as soon as the question of prestige arises, as soon as you feel that you and some larger unit will be disgraced if you lose, the most savage combative instincts are aroused.","在乡间的草坪上，当你随意组成两个队，并且不涉及任何地方情绪时，那才可能是单纯的为了娱乐和锻炼而进行比赛。可是一量涉及到荣誉问题，一旦你想到你和某一团体会因为你输而丢脸时，那么最野蛮的争斗天性便会激发起来。",Lesson 6 - The sporting spirit,New Concept English 4
"Anyone who has played even in a school football match knows this.","即使是仅仅参加过学校足球赛的人也有种体会。",Lesson 6 - The sporting spirit,New Concept English 4
"At the international level, sport is frankly mimic warfare.","在国际比赛中，体育简直是一场模拟战争。",Lesson 6 - The sporting spirit,New Concept English 4
"But the significant thing is not the behaviour of the players but the attitude of the spectators: and, behind the spectators, of the nations who work themselves into furies over these absurd contests, and seriously believe -- at any rate for short periods -- that running, jumping and kicking a ball are tests of national virtue.","但是，要紧的还不是运动员的行为，而是观众的态度，以及观众身后各个国家的态度。面对着这些荒唐的比赛，参赛的各个国家会如痴如狂，甚至煞有介事地相信 -- 至少在短期内如此 -- 跑跑、跳跳、踢踢球是对一个民族品德素质的检验。",Lesson 6 - The sporting spirit,New Concept English 4
"Not all sounds made by animals serve as language, and we have only to turn to that extraordinary discovery of echo-location in bats to see a case in which the voice plays a strictly utilitarian role.","动物发出的声音不都是用作语言交际。我们只要看一看蝙蝠回声定位这一极不寻常的发现，就可以探究一下声音在什么情况下有绝对的实用价值。",Lesson 7 - Bats,New Concept English 4
"To get a full appreciation of what this means we must turn first to some recent human inventions.","要透彻理解这句话的意义，我们应先回顾一下人类最近的几项发明。",Lesson 7 - Bats,New Concept English 4
"Everyone knows that if he shouts in the vicinity of a wall or a mountainside, an echo will come back.","大家都知道，在墙壁或山腰附近发出的喊声，就会听到回声。",Lesson 7 - Bats,New Concept English 4
"The further off this solid obstruction, the longer time will elapse for the return of the echo.","固体障碍物越远。回声返回所用时间就越长。",Lesson 7 - Bats,New Concept English 4
"A sound made by tapping on the hull of a ship will be reflected from the sea bottom, and by measuring the time interval between the taps and the receipt of the echoes the depth of the sea at that point can be calculated.","通过敲击空船发出的声音将会从海底反射回来，测出回声间隔的时间，便可算出该处海洋的深度。",Lesson 7 - Bats,New Concept English 4
"So was born the echo-sounding apparatus, now in general use in ships.","这样就产生了目前各种船舶上普遍应用的回声探测仪。",Lesson 7 - Bats,New Concept English 4
"Every solid object will reflect a sound, varying according to the size and nature of the object.","任何固体者反射声音，反射的声音因物体的大小和性质的不同而不同。",Lesson 7 - Bats,New Concept English 4
"A shoal of fish will do this.","鱼群也反射声音。",Lesson 7 - Bats,New Concept English 4
"So it is a comparatively simple step from locating the sea bottom to locating a shoal of fish.","从测定海深到测定鱼群，这一进展比较容易。",Lesson 7 - Bats,New Concept English 4
"With experience, and with improved apparatus, it is now possible not only to locate a shoal but to tell if it is herring, cod, or other well-known fish, by the pattern of its echo.","根据经验和改进了的仪器，不仅能够确定鱼群的位置，而且可以根据鱼群回声的特点分辨出是鲱鱼、鳕鱼，这是人们所熟悉的其他鱼。",Lesson 7 - Bats,New Concept English 4
"It has been found that certain bats emit squeaks and by receiving the echoes, they can locate and steer clear of obstacles -- or locate flying insects on which they feed.","人们发现，某些蝙蝠能发出尖叫声，并能通过回声来确定并躲开障碍物，或找到它们赖以为生的昆虫。",Lesson 7 - Bats,New Concept English 4
"This echo-location in bats is often compared with radar, the principle of which is similar.","蝙蝠这种回声定位常常可与雷达相比较，其原理是相似的。",Lesson 7 - Bats,New Concept English 4
